ID,lat,lon,name,type,notes,marker
L1552657,35.5860329,-83.073781,Appalachian Highlands Science Learning Center,hotspot,,small_blue
L1275705,35.3704176,-83.7046677,Appalachian Inn (request permission),hotspot,,small_blue
L2190527,35.9881941,-82.7814331,Appalachian Trail--Allen Gap,hotspot,,small_blue
L1739734,35.9107133,-82.7914797,Appalachian Trail--Mill Ridge Rd. to Rich Mountain,hotspot,,small_blue
L302549,35.35778,-83.71861,Appalachian Trail--Stecoah Gap,hotspot,,small_blue
L386755,36.0402506,-80.3019691,Archie Elledge Treatment Plant,hotspot,,small_blue
L1522534,35.904276,-81.54191,Armory Wetlands--Lenoir,hotspot,,small_blue
L1068007,34.6948416,-76.7268677,Atlantic Beach Pier,hotspot,,small_blue
L986625,35.2439368,-79.5969772,Auman Lake,hotspot,,small_blue
L1245796,35.3218158,-76.7470551,Aurora Waterfowl Impoundments,hotspot,,small_blue
L1050819,36.0448866,-75.6728926,Avalon Pier,hotspot,,small_blue
L772130,36.0786124,-79.084509,Ayr Mount Plantation,hotspot,,small_blue
L1478917,35.9067798,-78.6684001,Baileywick Road Park,hotspot,,small_blue
L216915,35.6577074,-81.4065829,Bakers Mountain,hotspot,,small_blue
L579820,33.8624335,-77.9850769,Bald Head Island,hotspot,,small_blue
L1248065,33.9016715,-78.0171776,Bald Head Island Ferry,hotspot,,small_blue
L1829755,33.841965,-77.961051,Bald Head Island--Cape Fear Point,hotspot,,small_blue
L1831948,33.8549742,-77.9600854,Bald Head Island--East Beach,hotspot,,small_blue
L750173,33.8657119,-77.9704857,Bald Head Island--Ibis Lake Sanctuary,hotspot,,small_blue
L1281639,33.860841,-77.9832825,Bald Head Island--M. Kent Mitchell Nature Trail,hotspot,,small_blue
L1439955,35.3961789,-83.1287619,Balsam Mountain Preserve (private),hotspot,,small_blue
L790915,35.8043969,-78.6043453,Barksdale Drive Greenway,hotspot,,small_blue
L1499308,35.873594,-81.248507,Barrett Mountain,hotspot,,small_blue
L1352674,35.6381473,-78.8083899,Bass Lake (Wake Co.),hotspot,,small_blue
L1324253,34.6709774,-78.4080505,Bay Tree Lake,hotspot,,small_blue
L1346864,35.4052034,-76.7406616,Bayview-Aurora Ferry,hotspot,,small_blue
L1270959,35.0977113,-76.04702,Beacon Island,hotspot,,small_blue
L557151,35.69718,-77.15866,Bear Grass VOA site,hotspot,,small_blue
L1804377,35.4605084,-82.3679656,Bearwallow Mountain,hotspot,,small_blue
L2209467,34.724266,-76.6644192,Beaufort Harbor,hotspot,,small_blue
L1050135,34.6909849,-76.6698503,Beaufort Inlet,hotspot,,small_blue
L1836987,34.7127316,-76.650061,Beaufort Waterfront,hotspot,,small_blue
L998115,35.7173085,-78.9461628,Beaver Creek Waterfowl Impoundment,hotspot,,small_blue
L166279,35.633465,-82.55752,Beaver Lake Sanctuary,hotspot,,small_blue
L855859,36.0187243,-78.8841314,Beaver Marsh,hotspot,,small_blue
L1048819,36.3186522,-80.0287485,Belews Lake (Rockingham Co.),hotspot,,small_blue
L1796642,36.2997516,-80.0526523,Belews Lake--Pine Hall Access Area,hotspot,,small_blue
L603699,36.1400235,-76.6650009,Bennett's Millpond,hotspot,,small_blue
L477250,36.1511131,-80.2993298,Bethabara City Park,hotspot,,small_blue
L358727,36.1553406,-80.2995872,Bethabara Park--Lower Trail,hotspot,,small_blue
L1497932,36.1559124,-80.3026699,Bethabara Park--Mill Creek Trail,hotspot,,small_blue
L358733,36.1557564,-80.3140068,Bethabara Wetlands,hotspot,,small_blue
L1021141,36.1780162,-80.3390694,Bethania--Black Walnut Bottom,hotspot,,small_blue
L1146599,36.0941756,-79.6419096,Bethel Church Rd.,hotspot,,small_blue
L798323,36.0055761,-75.7019806,Big Colington Island,hotspot,,small_blue
L786704,35.5400314,-82.5507438,Biltmore Estate,hotspot,,small_blue
L2145986,35.5534398,-82.5865245,Biltmore Estate--Deer Park River Trail,hotspot,,small_blue
L2145970,35.5402234,-82.5613117,Biltmore Estate--The Lagoon,hotspot,,small_blue
L1756842,33.859401,-78.5268438,Bird Island State Reserve,hotspot,,small_blue
L593591,35.4289244,-76.7669678,Bird Shoal--Beaufort Inlet,hotspot,,small_blue
L612331,35.6077837,-82.3366499,Black Mountain Rec. Park/Montreat College,hotspot,,small_blue
L357680,34.6899686,-78.5910416,Bladen Lakes SF,hotspot,,small_blue
L1665529,34.5963382,-78.5194845,Bladen Lakes SF--Singletary Lake area,hotspot,,small_blue
L1174603,35.0057312,-79.9004631,Blewett Falls Lake,hotspot,,small_blue
L1459398,35.9691822,-78.6425937,Blue Jay Point County Park,hotspot,,small_blue
L698118,36.4211443,-81.1879349,Blue Ridge Pkwy--Alligator Back,hotspot,,small_blue
L808055,35.7152501,-82.2741061,Blue Ridge Pkwy--Bald Knob Ridge Trail,hotspot,,small_blue
L997449,35.7484627,-82.3337638,Blue Ridge Pkwy--Balsam Gap,hotspot,,small_blue
L1278876,36.0824363,-81.8292189,Blue Ridge Pkwy--Beacon Heights,hotspot,,small_blue
L1267439,35.6997537,-82.3918283,Blue Ridge Pkwy--Bearpen Gap,hotspot,,small_blue
L1285045,35.6999651,-82.3991776,Blue Ridge Pkwy--Beetree Gap,hotspot,,small_blue
L1639938,36.2817027,-81.412966,Blue Ridge Pkwy--Betsy Rock Falls,hotspot,,small_blue
L1495413,36.4188375,-81.1462716,Blue Ridge Pkwy--Brinegar Cabin,hotspot,,small_blue
L720848,35.6561804,-82.4561691,Blue Ridge Pkwy--Bull Creek Valley Overlook,hotspot,,small_blue
L933021,35.812567,-82.1428764,Blue Ridge Pkwy--Crabtree Meadows,hotspot,,small_blue
L1267432,35.7046152,-82.3738039,Blue Ridge Pkwy--Craggy Dome,hotspot,,small_blue
L305111,35.6930556,-82.3833333,Blue Ridge Pkwy--Craggy Gardens,hotspot,,small_blue
L745958,35.6455792,-82.4935913,Blue Ridge Pkwy--Craven Gap,hotspot,,small_blue
L956046,36.0509119,-81.8573391,Blue Ridge Pkwy--Flat Rock,hotspot,,small_blue
L1267429,35.7342585,-82.3442727,Blue Ridge Pkwy--Glassmine Falls Overlook,hotspot,,small_blue
L1569072,35.3090845,-82.889072,Blue Ridge Pkwy--Graveyard Fields,hotspot,,small_blue
L1267431,35.7111204,-82.3642364,Blue Ridge Pkwy--Graybeard Mountain Overlook,hotspot,,small_blue
L781785,35.8857123,-82.0112228,Blue Ridge Pkwy--Hefner Gap,hotspot,,small_blue
L1639910,36.3244025,-81.3680418,Blue Ridge Pkwy--Jumpinoff Rock,hotspot,,small_blue
L907220,35.669935,-82.442093,Blue Ridge Pkwy--Lane Pinnacle Overlook,hotspot,,small_blue
L1158095,36.2619238,-81.4404837,Blue Ridge Pkwy--Lewis Fork Overlook,hotspot,,small_blue
L613247,35.9498013,-81.9260788,Blue Ridge Pkwy--Linville Falls,hotspot,,small_blue
L896850,36.4421029,-81.0311866,Blue Ridge Pkwy--Little Glade Millpond,hotspot,,small_blue
L615103,36.4406184,-81.0796165,Blue Ridge Pkwy--Mahogany Rock,hotspot,,small_blue
L896844,36.4810013,-80.9795272,Blue Ridge Pkwy--Mountain View Rd. Pond,hotspot,,small_blue
L765620,35.8722206,-82.0266724,Blue Ridge Pkwy--Orchard Overlook,hotspot,,small_blue
L1499398,35.3946428,-82.7610476,Blue Ridge Pkwy--Pisgah Ridge,hotspot,,small_blue
L2316924,35.6631431,-82.4608898,Blue Ridge Pkwy--Rattlesnake Lodge Trail,hotspot,,small_blue
L1577696,35.3630024,-82.9919966,Blue Ridge Pkwy--Richland Balsam Overlook,hotspot,,small_blue
L781868,35.7172493,-82.2773838,Blue Ridge Pkwy--Ridge Junction,hotspot,,small_blue
L2341818,35.3971664,-83.0460835,Blue Ridge Pkwy--Roy Taylor Overlook,hotspot,,small_blue
L2259636,36.0901419,-81.8205607,Blue Ridge Pkwy--Stack Rock Creek & Overlook,hotspot,,small_blue
L1291744,36.1362458,-81.6430628,Blue Ridge Pkwy--Thunderhill Overlook,hotspot,,small_blue
L784636,35.4639557,-83.1376433,Blue Ridge Pkwy--Waterrock Knob,hotspot,,small_blue
L2173744,35.6666756,-82.4633038,Blue Ridge Pkwy.--Bull Gap,hotspot,,small_blue
L2184923,36.144674,-81.63352,BlueRidge Pkwy--Raven Rock Overlook,hotspot,,small_blue
L1354088,34.2244324,-77.8718085,Bluethenthal Wildflower Preserve,hotspot,,small_blue
L1168186,35.434834,-80.9063244,Blythe Landing Park,hotspot,,small_blue
L365371,35.819076,-75.562966,Bodie Island Lighthouse & Pond,hotspot,,small_blue
L161359,35.83866,-75.5717,Bodie Island National Park,hotspot,,small_blue
L365370,35.82994,-75.55782,Bodie Island--Coquina Beach,hotspot,,small_blue
L1050808,34.6444855,-77.1039562,Bogue Inlet,hotspot,,small_blue
L1360458,34.6605637,-77.0330567,Bogue Inlet Pier,hotspot,,small_blue
L927721,34.0208928,-78.0637729,Boiling Spring Lakes Nature Trail,hotspot,,small_blue
L517191,35.9249008,-79.04533,Bolin Creek Trail,hotspot,,small_blue
L911407,35.7785499,-78.8269043,Bond Park,hotspot,,small_blue
L902289,36.208044,-81.6531801,Boone Greenway-- Athletic Fields,hotspot,,small_blue
L581189,35.7994631,-80.467751,Boone's Cave Park,hotspot,,small_blue
L1012209,35.6124066,-82.5674486,Botanical Gardens at Asheville,hotspot,,small_blue
L1598952,35.8207763,-79.0974552,Briar Chapel Trail,hotspot,,small_blue
L998118,35.8743627,-78.8085108,Brier Creek Reservoir,hotspot,,small_blue
L1549828,35.9067973,-82.8293755,Broadwing Farm,hotspot,,small_blue
L1789969,35.060151,-77.3558772,Brock Mill Pond,hotspot,,small_blue
L1137072,34.1407312,-77.989583,Brunswick Nature Park,hotspot,,small_blue
L1087240,34.0422763,-77.948041,Brunswick Town State Historic Site,hotspot,,small_blue
L473638,36.48332,-80.55842,Buck-Byllesby Dams--NRV Trail ,hotspot,,small_blue
L1646449,36.2277555,-81.9010201,Buckeye Lake Recreation Area,hotspot,,small_blue
L1035233,35.7004112,-78.1393919,Buckhorn Reservoir,hotspot,,small_blue
L856484,36.1129167,-79.7854614,Buffalo Lake,hotspot,,small_blue
L1335217,35.7211797,-81.1153951,Bunker Hill Covered Bridge,hotspot,,small_blue
L1482507,36.0835257,-79.4529897,Burlington City Park,hotspot,,small_blue
L1244554,35.6663153,-82.3390503,Burnett Reservoir,hotspot,,small_blue
L1822404,35.84753,-77.4336282,Burnette Farm Rd. pond,hotspot,,small_blue
L508336,36.1073477,-78.8050175,Butner Gamelands--Brickhouse Rd. (Durham Co.),hotspot,,small_blue
L1798222,36.1078356,-78.8036483,Butner Gamelands--Brickhouse Rd. (Granville Co.),hotspot,,small_blue
L1857093,35.2502082,-75.5847875,Buxton Woods Nature Reserve--Water Association Rd.,hotspot,,small_blue
L473332,36.1690091,-80.3763199,C. G. Hill Memorial Park,hotspot,,small_blue
L1890752,34.9830216,-77.7978389,Cabin Lake County Park,hotspot,,small_blue
L983859,34.7273202,-76.7287302,Calico Creek,hotspot,,small_blue
L1274914,34.2462054,-77.934469,Calvary Memorial Cemetery (Wilmington),hotspot,,small_blue
L870602,34.2000122,-77.9425411,Cameron Park,hotspot,,small_blue
L711156,35.1677043,-80.7365513,Campbell Creek Greenway,hotspot,,small_blue
L2120259,35.2943217,-76.6318059,Campbell Creek Impoundment 1,hotspot,,small_blue
L213069,35.0387066,-83.9629672,Campbell Folk School,hotspot,,small_blue
L269276,35.2985162,-75.5142374,"Canadian Hole, Outer Banks",hotspot,,small_blue
L1617575,35.3077969,-79.720418,Candor Turf Farm,hotspot,,small_blue
L1649906,34.8415557,-80.6804546,Cane Creek Park,hotspot,,small_blue
L614864,35.9492454,-79.2412949,Cane Creek Reservoir,hotspot,,small_blue
L998119,35.5409358,-78.9888604,Cape Fear River--Buckhorn Road,hotspot,,small_blue
L1152715,34.4047321,-78.293016,Cape Fear River--Lock and Dam 1,hotspot,,small_blue
L130081,35.2390251,-75.5356293,Cape Hatteras,hotspot,,small_blue
L791933,35.3473531,-75.4992807,Cape Hatteras NS--Avon Pier,hotspot,,small_blue
L1448233,35.235561,-75.5388383,Cape Hatteras NS--Cape Point Campground,hotspot,,small_blue
L2133546,35.8058413,-75.5477428,Cape Hatteras NS--Coquina Beach,hotspot,,small_blue
L1232681,35.2369266,-75.6036186,Cape Hatteras NS--Frisco Campground,hotspot,,small_blue
L1060494,35.2483795,-75.5326104,Cape Hatteras NS--Lighthouse Rd. pond,hotspot,,small_blue
L1268096,35.7885764,-75.5361557,Cape Hatteras NS--Oregon Inlet Beach(north),hotspot,,small_blue
L674658,35.4473,-75.4835,Cape Hatteras NS--Ramp 26-32,hotspot,,small_blue
L674657,35.2346,-75.5691,Cape Hatteras NS--Ramp 44-49,hotspot,,small_blue
L1670657,35.5776217,-75.4648534,Cape Hatteras NS--Salvo Campground,hotspot,,small_blue
L1169550,35.2238161,-75.6431222,Cape Hatteras NS--West of Hatteras Fishing Pier,hotspot,,small_blue
L365397,35.252658,-75.533991,Cape Hatteras--Buxton Woods Trail,hotspot,,small_blue
L473168,35.2234655,-75.5286026,Cape Hatteras--Cape Point,hotspot,,small_blue
L365399,35.254639,-75.52154,Cape Hatteras--Old Lighthouse,hotspot,,small_blue
L557007,35.2300561,-75.5322504,Cape Hatteras--Salt Pond,hotspot,,small_blue
L792639,34.5878561,-76.535182,Cape Lookout NS--Cape Lookout point,hotspot,,small_blue
L1287038,34.6864399,-76.527586,Cape Lookout NS--Core Sound Waterfowl Museum Trails,hotspot,,small_blue
L587342,34.6908155,-76.532135,Cape Lookout NS--Harker's Island,hotspot,,small_blue
L1249081,34.6602282,-76.5245819,Cape Lookout NS--Morgan Island,hotspot,,small_blue
L792249,35.0536079,-76.0542297,Cape Lookout NS--Portsmouth Island,hotspot,,small_blue
L1501038,34.8996383,-76.2540692,Cape Lookout NS--Ramp 16,hotspot,,small_blue
L1756840,34.6143028,-76.5542352,Cape Lookout NS--jetty,hotspot,,small_blue
L1420470,35.4480127,-76.2100183,Carawan's Motel vicinity,hotspot,,small_blue
L882597,35.2719011,-82.4498177,Carl Sandburg National Historic Site,hotspot,,small_blue
L358130,34.0292245,-77.8966391,Carolina Beach Lake,hotspot,,small_blue
L243650,34.0499847,-77.9176247,Carolina Beach State Park,hotspot,,small_blue
L971422,34.0316608,-77.91152,Carolina Beach Wastewater Treatment Plant,hotspot,,small_blue
L612916,34.054935,-77.8875732,Carolina Beach--Florida Avenue,hotspot,,small_blue
L612914,34.0583482,-77.8855133,Carolina Beach--North End,hotspot,,small_blue
L1048820,35.2511828,-82.7299476,Carolina Lake,hotspot,,small_blue
L1795005,36.523473,-75.8619877,Carova Beach,hotspot,,small_blue
L690412,35.1724402,-78.8764715,Carvers Creek SP,hotspot,,small_blue
L1392990,35.2104797,-78.9738085,Carvers Creek SP--Long Valley Farm,hotspot,,small_blue
L1786459,35.214913,-78.9727785,Carvers Creek SP--Long Valley Farm Harnet,hotspot,,small_blue
L1048244,35.1064702,-83.1007683,Cashiers Lake,hotspot,,small_blue
L2078343,34.3340987,-77.9028082,Castle Hayne Park,hotspot,,small_blue
L1390759,35.6908289,-80.4845173,Catawba College Campus,hotspot,,small_blue
L581115,35.6898839,-80.478791,Catawba College Ecological Preserve,hotspot,,small_blue
L1518066,35.179437,-81.002917,Catawba River-- Shopton Rd. Cove to Walker's Ferry Rd. Cove,hotspot,,small_blue
L1114741,35.7594507,-81.7060304,Cawtaba Meadows Park,hotspot,,small_blue
L1437610,35.9576122,-79.0331442,Cedar Falls Park,hotspot,,small_blue
L557019,35.0175905,-76.3137388,Cedar Island Ferry Terminal,hotspot,,small_blue
L332342,34.9638889,-76.3333333,Cedar Island NWR,hotspot,,small_blue
L1836917,34.9511101,-76.2811903,Cedar Island NWR--Boat Ramp,hotspot,,small_blue
L1836931,34.9408513,-76.3378386,Cedar Island NWR--Causeway,hotspot,,small_blue
L1108904,35.0558563,-76.1613464,Cedar Island/Ocracoke Ferry,hotspot,,small_blue
L962766,35.9921569,-79.4432867,Cedarock Park,hotspot,,small_blue
L71358,35.568333,-82.906944,Chambers Mountain,hotspot,,small_blue
L1371183,36.2952728,-76.2170507,Charles Creek Park,hotspot,,small_blue
L849409,35.2248328,-80.955795,Charlotte/Douglas International Airport--Overlook Park,hotspot,,small_blue
L2103184,35.0463003,-83.4612465,Chattahoochee-Oconee NF--Coweeta Hydrologic Lab,hotspot,,small_blue
L1244768,35.4619749,-83.8953323,Cheoah Lake,hotspot,,small_blue
L2220782,35.3368464,-84.0308833,Cherohala Skyway--Old Santeelah Rd.,hotspot,,small_blue
L792004,35.4987708,-77.1694171,Chicod Creek,hotspot,,small_blue
L522709,35.4321765,-82.2495747,Chimney Rock SP,hotspot,,small_blue
L1094129,36.3666323,-76.7656374,Chowan Swamp Game Land--New Ferry Rd.,hotspot,,small_blue
L681004,36.5077997,-76.9067699,Chowan Swamp Game Lands,hotspot,,small_blue
L633731,35.3544762,-80.2313089,City Lake (Albemarle),hotspot,,small_blue
L1248078,35.9495696,-77.8199387,City Lake (Rocky Mount),hotspot,,small_blue
L387560,36.0853496,-80.2255583,Civitan Park,hotspot,,small_blue
L459175,35.3,-75.6666667,Clam Shoal (a.k.a. Bird Island),hotspot,,small_blue
L618356,35.3532511,-80.8081555,Clark's Creek Nature Preserve,hotspot,,small_blue
L472712,35.684455,-78.4890747,Clemmons Educational State Forest,hotspot,,small_blue
L387754,35.235636,-77.890952,Cliffs of the Neuse SP,hotspot,,small_blue
L480402,35.4809414,-80.7168102,Coddle Creek Reservoir--north end,hotspot,,small_blue
L482295,35.4368117,-80.7100886,Coddle Creek Reservoir--south end,hotspot,,small_blue
L1135386,35.7660846,-82.9720974,Cold Springs Creek Rd.,hotspot,,small_blue
L1021786,35.0645681,-80.7423878,Colonel Francis Beatty Park,hotspot,,small_blue
L1441517,35.8764264,-80.0351523,Colonial Country Club (restricted access),hotspot,,small_blue
L2022192,36.4463492,-79.0728307,Concord Methodist Church fields,hotspot,,small_blue
L618362,35.3714675,-80.7200611,Concord Mills Mall Pond,hotspot,,small_blue
L483059,35.3740045,-80.7166386,Concord Mills Wetland,hotspot,,small_blue
L1368162,35.7023991,-81.1947591,Conover Blvd. E. (Collared-Dove),hotspot,,small_blue
L2301126,35.701181,-81.218445,Conover City Park Wetlands,hotspot,,small_blue
L1065690,35.1078675,-81.0268307,Copperhead Island,hotspot,,small_blue
L404717,34.8334439,-76.6905141,Core Creek,hotspot,,small_blue
L839783,34.8656514,-76.7669678,Core Creek,hotspot,,small_blue
L2161096,35.754608,-81.342806,Corinth Reformed Church Wetlands,hotspot,,small_blue
L2112826,36.0802512,-80.1865911,Cornerstone Living Centre Pond,hotspot,,small_blue
L1049565,35.9786487,-78.9522493,Cornwallis Road Park,hotspot,,small_blue
L282505,35.3714422,-80.9744294,Cowan's Ford Wildlife Refuge,hotspot,,small_blue
L467407,35.0583333,-83.4361111,Coweeta Hydrological Lab,hotspot,,small_blue
L1431612,35.8169399,-78.858515,Crabtree Creek Watershed,hotspot,,small_blue
L620039,35.8750026,-76.3800645,Creswell Catfish Ponds,hotspot,,small_blue
L1137108,34.9506792,-77.0306396,Croatan NF--Catfish Lake Rd.,hotspot,,small_blue
L619728,34.9549704,-77.1245384,Croatan NF--Catfish Lake Waterfowl Impoundments,hotspot,,small_blue
L579948,34.6921211,-77.087245,Croatan NF--Cedar Point Tideland Trail,hotspot,,small_blue
L307025,34.8436855,-76.9533335,Croatan NF--Craven Co.,hotspot,,small_blue
L738165,34.9449102,-76.9862652,Croatan NF--Gum Swamp Bottomland Forest,hotspot,,small_blue
L713357,34.8191235,-77.1849632,Croatan NF--Haywood Landing,hotspot,,small_blue
L387763,35.0659731,-77.1542358,Croatan NF--Island Creek Walk (Jones Co.),hotspot,,small_blue
L1014069,34.9833154,-77.0649719,Croatan NF--Little Road,hotspot,,small_blue
L738052,34.7661532,-76.9556236,Croatan NF--Millis Rd. Savanna,hotspot,,small_blue
L738088,34.9832451,-76.9488001,Croatan NF--Neuse River Recreation Area,hotspot,,small_blue
L741082,34.7211916,-76.9614816,Croatan NF--Patsy Pond Nature Trail,hotspot,,small_blue
L833503,34.9393871,-76.8228436,Croatan NF--Pine Cliff Recreation Area,hotspot,,small_blue
L1347587,34.8978767,-76.9448168,Croatan NF--Powerline near Havelock,hotspot,,small_blue
L983863,34.7387207,-76.9908142,Croatan NF--Pringle Road,hotspot,,small_blue
L895579,34.9259178,-76.7826748,Croatan NF--Shadyview Beach,hotspot,,small_blue
L192764,35.214237,-81.29471,Crowders Mountain State Park,hotspot,,small_blue
L557015,34.6919888,-77.0867407,Crystal Cove Nature Trail,hotspot,,small_blue
L2161402,36.1489993,-81.1446762,Cub Creek Park,hotspot,,small_blue
L357285,35.006835,-78.85952,Cumberland County Park,hotspot,,small_blue
L999877,36.5532581,-80.9081268,Cumberland Knob Recreation Area,hotspot,,small_blue
L1628623,36.4662266,-75.9697802,Currituck - Knotts Island Ferry,hotspot,,small_blue
L674445,36.3899117,-75.8316922,Currituck Banks National Estuarine Research Reserve,hotspot,,small_blue
L449788,36.3739667,-75.8328187,Currituck Heritage Park,hotspot,,small_blue
L1030229,36.42736,-75.838623,Currituck NWR,hotspot,,small_blue
L998121,35.9755126,-79.1838495,Dairyland Road--Anilorac Farm,hotspot,,small_blue
L786002,35.9777283,-79.1399717,Dairyland Road--Maple View Farm,hotspot,,small_blue
L891106,35.6402781,-80.3456783,Dan Nicholas Park,hotspot,,small_blue
L1515426,36.209986,-81.6706754,Daniel Boone Native Gardens,hotspot,,small_blue
L1428242,35.1674013,-81.0567505,Daniel Stowe Botanical Garden,hotspot,,small_blue
L977740,35.4033581,-80.8156872,David B. Waymer Flying Fields,hotspot,,small_blue
L973820,34.8099627,-76.4734268,Davis Waterfowl Impoundments,hotspot,,small_blue
L1498259,34.1225665,-78.0122281,Daws Creek Rd.,hotspot,,small_blue
L1287534,35.4648645,-83.4327507,Deep Creek Campground,hotspot,,small_blue
L1011830,35.8215018,-79.7995377,Deep River Nature Trail,hotspot,,small_blue
L1298774,35.7378169,-79.6849322,Deep River Rail Trail,hotspot,,small_blue
L207867,35.187,-82.53,Devils Courthouse OL,hotspot,,small_blue
L304320,35.3026897,-82.905293,Devils Courthouse/Graveyard Fields,hotspot,,small_blue
L1048226,36.2069394,-75.8404255,Dews Island,hotspot,,small_blue
L848005,34.8857461,-76.3469982,Dick's Pond,hotspot,,small_blue
L793945,36.0968342,-80.5193996,Dinkins Bottom,hotspot,,small_blue
L1989865,35.8832367,-78.8748837,Discovery Lake,hotspot,,small_blue
L421615,36.5053847,-76.3559783,Dismal Swamp SP,hotspot,,small_blue
L880857,36.5325365,-76.4602089,Dismal Swamp SP--Kim Saunders Ditch,hotspot,,small_blue
L1022735,36.4069155,-81.1711121,Doughton Park,hotspot,,small_blue
L982005,36.4215414,-81.1837238,Doughton Park--Bluff Mountain Trail,hotspot,,small_blue
L896839,36.4302777,-81.1752641,Doughton Park--Fodder Stack,hotspot,,small_blue
L580797,36.3760658,-81.1463928,Doughton Park--Longbottom Rd.,hotspot,,small_blue
L1743452,36.1653951,-75.7558532,Duck Park Boardwalk,hotspot,,small_blue
L998128,36.0178371,-78.9827052,Duke Forest -- Gate 10,hotspot,,small_blue
L998129,36.0253414,-78.9894183,Duke Forest -- Gate 12,hotspot,,small_blue
L998126,36.0073189,-78.9659039,Duke Forest -- Gate 4,hotspot,,small_blue
L1066879,36.0323903,-79.0628743,Duke Forest--Eno Division,hotspot,,small_blue
L499738,35.991749,-79.0281022,Duke Forest--Korstian Division,hotspot,,small_blue
L389351,36.0133333,-78.9725,Duke Forest--Shepherd Nature Trail ,hotspot,,small_blue
L2152679,36.0136994,-78.892436,Duke Park,hotspot,,small_blue
L718272,35.9897437,-78.943795,Duke University Wetland Center 'SWAMP',hotspot,,small_blue
L1654972,35.0391063,-83.0676913,Dulaney Bog,hotspot,,small_blue
L1397445,34.9912913,-78.1328468,Duplin County I-40 rest area,hotspot,,small_blue
L1248659,35.1913017,-82.6226377,Dupont SF,hotspot,,small_blue
L599979,35.8932569,-78.5801411,Durant Nature Park,hotspot,,small_blue
L1157162,36.2376275,-81.5013885,E. B. Jeffress Park,hotspot,,small_blue
L1057149,35.9980769,-78.5147595,E. Carroll Joyner Park,hotspot,,small_blue
L1644887,35.6803126,-77.2002615,Eagle Farm-Carolina Classic Catfish Farms,hotspot,,small_blue
L973829,34.2081112,-77.9648209,Eagle Island Spoil Ponds,hotspot,,small_blue
L1854264,35.603464,-80.267678,Eagle Point Nature Preserve,hotspot,,small_blue
L674614,34.6495906,-76.5520477,East Shackleford Banks,hotspot,,small_blue
L1804745,35.2580992,-82.6941479,Ecusta Pond,hotspot,,small_blue
L1371427,36.1187681,-78.9101642,Eden Lakes,hotspot,,small_blue
L1435480,35.7880683,-78.6551607,Edna Metz Wells Park,hotspot,,small_blue
L1158973,36.3205886,-81.7105579,Elk Knob Game Land,hotspot,,small_blue
L902789,36.3326207,-81.6955483,Elk Knob State Natural Area,hotspot,,small_blue
L2139896,36.2535139,-80.8624542,Elkin Creek Nature Trail,hotspot,,small_blue
L593582,34.6645582,-77.0393944,Emerald Isle,hotspot,,small_blue
L2153912,34.6625286,-77.0664096,Emerald Isle Woods,hotspot,,small_blue
L1788586,34.6715996,-77.0055383,Emerald Isle boat ramp,hotspot,,small_blue
L2153919,34.6554068,-77.0561314,Emerald Isle--Islander Public Beach Access,hotspot,,small_blue
L998130,36.0397769,-78.990378,Eno River SP -- Cabe Lands Access,hotspot,,small_blue
L880445,36.0470257,-79.0112525,Eno River SP -- Pleasant Green,hotspot,,small_blue
L499740,36.0608172,-78.9765179,Eno River SP--Cole Mill/Pump Station,hotspot,,small_blue
