region|site_num|group_name|site_name|affiliation|lat_dd|lon_dd|site_id|grp_file|slug
Piedmont|3|Central Piedmont|Haw River State Park|NC State Parks|36.25|-79.75666667|143||haw-river-state-park
Piedmont|2|Central Piedmont|Haw River Trail - Glencoe Access|Alamance County|36.13666667|-79.42694444|144||haw-river-trail-glencoe-access
Mountain|3|Haywood County|Heintooga Spur Road|Blue Ridge Parkway, Great Smoky Mountains National Park|35.5725|-83.17944444|253||heintooga-spur-road
Piedmont|13|Greater Raleigh|Hemlock Bluffs Nature Preserve|Town of Cary|35.73333333|-78.78333333|145||hemlock-bluffs-nature-preserve
Mountain|3|Catawba Valley|Hickory City Park-Geitner Park Greenway|City of Hickory|35.75722222|-81.36861111|207||hickory-city-park-geitner-park-greenway
Piedmont|1|Pee Dee|High Ridge Gardens|Mary Erickson and John Edmondson|34.93388889|-80.30694444|146||high-ridge-gardens
Mountain|6|Nantahala|Highlands Nature Center|University of North Carolina, Highlands Biological Station|35.05222222|-83.18805556|259||highlands-nature-center
Piedmont|1|Orange-Durham|Hill Forest|NC State University, College of Natural Resources|36.19916667|-78.89527778|147||hill-forest
Piedmont|5|Pee Dee|Hinson Lake|City of Rockingham (on-site manager); NC Wildlife Resources Commission (owner|34.93861111|-79.75027778|148||hinson-lake
Piedmont|4|Northwest Piedmont|Historic Bethabara Park|Historic Bethabara Park|36.15472222|-80.29611111|149||historic-bethabara-park
Coastal|6|Roanoke|Historic Hope Plantation|Historic Hope Foundation, Inc|36.03333333|-77.01750001|56||historic-hope-plantation
Mountain|1|Central Blue Ridge Parkway|Historic Orchard at Altapass|The Altapass Foundation|35.87861111|-82.02444444|215||historic-orchard-at-altapass
Piedmont|10|Greater Raleigh|Historic Yates Mill County Park|Wake County Parks, Recreation and Open Space Department, and NC State University|35.72027778|-78.68722222|150||historic-yates-mill-county-park
Coastal|2|Pender|Holly Shelter Game Land - Greentree Impoundment|NC Wildlife Resources Commission|34.54861112|-77.81611112|57||holly-shelter-game-land-greentree-impoundment
Coastal|1|Pender|Holly Shelter Game Land - Southeast Gate|NC Wildlife Resources Commission|34.40944443|-77.65722222|58||holly-shelter-game-land-southeast-gate
Coastal|2|East Carteret|Hoop Pole Creek Natural Area|NC Coastal Federation|34.70111111|-76.75194443|59||hoop-pole-creek-natural-area
Coastal|1|Western Coastal Plain|Howell Woods Environmental Learning Center|Johnston Community College|35.37056|-78.30583001|60||howell-woods-environmental-learning-center
Piedmont|4|Orange-Durham|Indian Trail Park - West Ellerbe Creek Trail/17 Acre Wood Preserve|Ellerbe Creek Watershed Association|36.02444444|-78.92916667|151||indian-trail-park-west-ellerbe-creek-trail-17-acre-wood-preserve
Mountain|1|Central Foothills|Inn on Mill Creek|David and Brigette Walters|35.64277778|-82.25583333|221||inn-on-mill-creek
Piedmont|2|Sandhills|J. Bayard Clark Park|City of Fayetteville|35.08777778|-78.87083333|152||j-bayard-clark-park
Coastal|4|Western Coastal Plain|Jackson Farm|Tom and Jan Jackson|35.1463889|-78.53416668|61||jackson-farm
Mountain|7|French Broad|Jackson Park|Henderson County Parks & Recreation|35.31833333|-82.44638889|239||jackson-park
Coastal|3|Outer Banks|Jockey's Ridge State Park|NC State Parks|35.96416667|-75.6325|62||jockeys-ridge-state-park
Mountain|7|Southwest Mountains|John C. Campbell Folk School|John C. Campbell Folk School, Inc.|35.03916667|-83.96361111|302||john-c-campbell-folk-school
Piedmont|6|Orange-Durham|Johnston Mill Nature Preserve|Triangle Land Conservancy|35.99527778|-79.05416667|153||johnston-mill-nature-preserve
Coastal|2|Bay Lakes|Jones Lake State Park|NC State Parks|34.68166667|-78.59555557|63||jones-lake-state-park
Piedmont|5|Jordan Lake|Jordan Lake Educational State Forest|NC Division of Forest Resources|35.77388889|-79.04166667|154||jordan-lake-educational-state-forest
Piedmont|1|Jordan Lake|Jordan Lake State Recreation Area - Ebenezer Church|NC State Parks|35.70777778|-79.02638889|155||jordan-lake-state-recreation-area-ebenezer-church
Piedmont|2|Jordan Lake|Jordan Lake State Recreation Area - New Hope|NC State Parks|35.68222222|-79.04777778|156||jordan-lake-state-recreation-area-new-hope
Piedmont|4|Jordan Lake|Jordan Lake State Recreation Area - Parkers Creek|NC State Parks|35.74416667|-79.04194444|157||jordan-lake-state-recreation-area-parkers-creek
Piedmont|3|Jordan Lake|Jordan Lake State Recreation Area - Seaforth|NC State Parks|35.72611111|-79.035|158||jordan-lake-state-recreation-area-seaforth
Piedmont|6|Jordan Lake|Jordan Lake State Recreation Area - Vista Point|NC State Parks|35.70388889|-79.04833333|159||jordan-lake-state-recreation-area-vista-point
Mountain|5|Southwest Mountains|Joyce Kilmer Memorial Forest|Nantahala National Forest|35.35916667|-83.92888889|303||joyce-kilmer-memorial-forest
Mountain|2|Grandfather Corridor|Julian Price Memorial Park|Blue Ridge Parkway|36.13861111|-81.73638889|249||julian-price-memorial-park
Piedmont|6|Northeast Piedmont|Kerr Lake State Recreation Area - Bullocksville|NC State Parks|36.45833333|-78.36472222|160||kerr-lake-state-recreation-area-bullocksville
Piedmont|7|Northeast Piedmont|Kerr Lake State Recreation Area - County Line|NC State Parks|36.51944444|-78.32027778|161||kerr-lake-state-recreation-area-county-line
Piedmont|4|Northeast Piedmont|Kerr Lake State Recreation Area - Henderson Point|NC State Parks|36.53472222|-78.34555556|162||kerr-lake-state-recreation-area-henderson-point
Piedmont|3|Northeast Piedmont|Kerr Lake State Recreation Area - Hibernia|NC State Parks|36.51055556|-78.37472222|163||kerr-lake-state-recreation-area-hibernia
Piedmont|8|Northeast Piedmont|Kerr Lake State Recreation Area - Kimball Point|NC State Parks|36.53888889|-78.31666667|164||kerr-lake-state-recreation-area-kimball-point
Piedmont|2|Northeast Piedmont|Kerr Lake State Recreation Area - Nutbush|NC State Parks|36.41277778|-78.395|165||kerr-lake-state-recreation-area-nutbush
Piedmont|5|Northeast Piedmont|Kerr Lake State Recreation Area - Satterwhite Point|NC State Parks|36.44694444|-78.37166667|166||kerr-lake-state-recreation-area-satterwhite-point
Piedmont|8|Greater Raleigh|Lake Benson Park|Town of Garner|35.67138889|-78.62861111|167||lake-benson-park
Piedmont|3|Greater Raleigh|Lake Crabtree County Park|Wake County Parks, Recreation and Open Space Department|35.84166667|-78.79527778|168||lake-crabtree-county-park
Mountain|5|Central Foothills|Lake James State Park|NC State Parks|35.73166667|-81.90305556|222||lake-james-state-park
Piedmont|9|Greater Raleigh|Lake Johnson Park|City of Raleigh Parks and Recreation Department|35.76222222|-78.71555556|169||lake-johnson-park
Mountain|5|Haywood County|Lake Junaluska|Lake Junaluska Assembly|35.52361111|-82.98166667|254||lake-junaluska
Mountain|1|Greater Charlotte West|Lake Norman State Park|NC State Parks|35.65|-80.94611111|245||lake-norman-state-park
Piedmont|1|Rockingham County|Lake Reidsville Recreational Park|City of Reidsville|36.29277778|-79.68194444|170||lake-reidsville-recreational-park
Coastal|9|Southeast|Lake Waccamaw State Park|NC State Parks|34.27805556|-78.46555557|325||lake-waccamaw-state-park
Piedmont|11|Greater Raleigh|Lake Wheeler|City of Raleigh Parks and Recreation Department|35.69611111|-78.69277778|171||lake-wheeler
Mountain|4|Catawba Valley|Lakeside Park|Town of Granite Falls|35.78638889|-81.44055556|208||lakeside-park
Mountain|3|Greater Charlotte West|Latta Plantation Nature Preserve|Mecklenburg County Park and Recreation Department|35.35583333|-80.90888889|246||latta-plantation-nature-preserve
Mountain|4|Northern Foothills|Lenoir Greenway|City of Lenoir|35.92194444|-81.5225|279||lenoir-greenway
Mountain|4|New River|Lewis Fork Overlook|Blue Ridge Parkway|36.26194444|-81.44055556|270||lewis-fork-overlook
Mountain|4|Roan Mountain|Linville Falls|Blue Ridge Parkway|35.95527778|-81.92805556|290||linville-falls
Piedmont|2|Orange-Durham|Little River Regional Park and Natural Area|Orange and Durham Counties|36.16166667|-78.975|172||little-river-regional-park-and-natural-area
Mountain|3|Nantahala|Little Tennessee River Greenway|Macon County; Friends of the Greenway, Inc. (site manager|35.18388889|-83.37083333|260||little-tennessee-river-greenway
Piedmont|6|Greater Charlotte East|Lower McAlpine and McMullen Creek Greenway|Mecklenburg County Park and Recreation Department|35.08722222|-80.85694445|173||lower-mcalpine-and-mcmullen-creek-greenway
Piedmont|5|Sandhills|Lumber River State Park|NC State Parks|34.92611111|-79.35444444|65||lumber-river-state-park
Piedmont|8|Sandhills|Lumber River State Park - Chalk Banks and upper sections|NC State Parks|34.92611111|-79.35444444|174||lumber-river-state-park-chalk-banks-and-upper-sections
Coastal|5|Northeast|Mackay Island National Wildlife Refuge|US Fish and Wildlife Service|36.52777779|-75.99027779|326||mackay-island-national-wildlife-refuge
Mountain|2|Northern Blue Ridge Parkway|Mahogany Rock|Blue Ridge Parkway|36.44111111|-81.09527778|276||mahogany-rock
Piedmont|2|Greater Charlotte East|Mallard and Clark's Creek Greenway|Mecklenburg County Park and Recreation Department|35.33472222|-80.77333333|175||mallard-and-clarks-creek-greenway
Piedmont|8|Orange-Durham|Mason Farm Biological Reserve|North Carolina Botanical Garden, The University of North Carolina at Chapel Hill|35.89222222|-79.01638889|176||mason-farm-biological-reserve
Coastal|3|New Hanover|Mason Inlet Waterbird Management Area|New Hanover County; Audubon NC (manager|34.23472223|-77.7761111|67||mason-inlet-waterbird-management-area
Coastal|4|New Hanover|Masonboro Island National Estuarine Research Reserve|NC Coastal Reserve|34.16583333|-77.84305557|327||masonboro-island-national-estuarine-research-reserve
Coastal|8|Albemarle Peninsula|Mattamuskeet National Wildlife Refuge|US Fish and Wildlife Service|35.45194444|-76.17722222|328||mattamuskeet-national-wildlife-refuge
Mountain|1|Haywood County|Max Patch|Pisgah National Forest|35.79388889|-82.9625|255||max-patch
Piedmont|2|Caswell-Person|Mayo Park|Person County Recreation, Arts, and Parks Department|36.48138889|-78.86777778|11||mayo-park
Piedmont|5|Greater Charlotte East|McAlpine Creek and Campbell Creek Greenways|Mecklenburg County Park and Recreation Department|35.15055556|-80.74444444|177||mcalpine-creek-and-campbell-creek-greenways
Mountain|5|Greater Charlotte West|McDowell Nature Preserve|Mecklenburg County Park and Recreation Department|35.09444444|-81.02388889|247||mcdowell-nature-preserve
Mountain|2|Watauga County|Meat Camp Creek Environmental Studies Area|Curtis and Mary Smalling|36.26388889|-81.62861111|309||meat-camp-creek-environmental-studies-area
Piedmont|10|Northeast Piedmont|Medoc Mountain State Park|NC State Parks|36.26472222|-77.8875|178||medoc-mountain-state-park
Coastal|4|Tri-County|Merchants Millpond State Park|NC State Parks|36.41694444|-76.69805555|329||merchants-millpond-state-park
Coastal|5|Tri-County|Mill Creek Paddle Trail|Town of Hertford|36.19|-76.47083333|71||mill-creek-paddle-trail
Piedmont|2|Northwest Piedmont|Miller Park|Winston-Salem Parks and Recreation Department|36.08694444|-80.28444444|179||miller-park
Mountain|1|Cherokee|Mingo Falls|Eastern Band of Cherokee Indian|35.53416667|-83.27638889|228||mingo-falls
Coastal|4|Pender|Moores Creek National Battlefield|National Park Service|34.4575|-78.10944443|72||moores-creek-national-battlefield
Piedmont|6|Uwharrie|Morrow Mountain State Park|NC State Parks|35.37333333|-80.07305556|180||morrow-mountain-state-park
Mountain|1|Grandfather Corridor|Moses H. Cone Memorial Park|Blue Ridge Parkway|36.15111111|-81.69166667|250||moses-h-cone-memorial-park
Mountain|4|Central Foothills|Mount Ida Nature Preserve|City of Marion|35.67138889|-81.98916667|223||mount-ida-nature-preserve
Mountain|5|New River|Mount Jefferson State Natural Area|NC State Parks|36.39777778|-81.48138889|271||mount-jefferson-state-natural-area
Mountain|4|Central Blue Ridge Parkway|Mount Mitchell State Park|NC State Parks|35.76666667|-82.26472222|217||mount-mitchell-state-park
