birdID,siteNumber,commonName,scientificName,spring,summer,fall,winter,comment
609,4,Brown Thrasher,Toxostoma rufum,5,5,5,5,NULL
610,4,European Starling,Sturnus vulgaris,5,5,5,5,NULL
611,4,Cedar Waxwing,Bombycilla cedrorum,4,NULL,2,4,NULL
612,4,Orange-crowned Warbler,Vermivora celata,2,NULL,4,4,NULL
613,4,Northern Parula,Parula americana,4,4,4,NULL,NULL
614,4,Yellow Warbler,Dendroica petechia,3,3,3,NULL,NULL
615,4,Magnolia Warbler,Dendroica magnolia,NULL,NULL,2,NULL,NULL
616,4,Cape May Warbler,Dendroica tigrina,NULL,NULL,2,NULL,NULL
617,4,Black-throated Blue Warbler,Dendroica caerulescens,2,NULL,2,NULL,NULL
618,4,Yellow-rumped Warbler,Dendroica coronata,4,NULL,4,5,NULL
619,4,Black-throated Green Warbler,Dendroica virens,3,NULL,3,NULL,NULL
620,4,Blackburnian Warbler,Dendroica fusca,NULL,NULL,3,NULL,NULL
621,4,Yellow-throated Warbler,Dendroica dominica,4,4,2,1,NULL
622,4,Pine Warbler,Dendroica pinus,5,5,5,5,NULL
623,4,Prairie Warbler,Dendroica discolor,2,2,2,NULL,NULL
624,4,Palm Warbler,Dendroica palmarum,3,NULL,4,2,NULL
625,4,Bay-breasted Warbler,Dendroica castanea,NULL,NULL,3,NULL,NULL
626,4,Blackpoll Warbler,Dendroica striata,2,NULL,3,NULL,NULL
627,4,Black-and-white Warbler,Mniotilta varia,2,2,4,3,NULL
628,4,American Redstart,Setophaga ruticilla,NULL,2,4,NULL,NULL
629,4,Prothonotary Warbler,Protonotaria citrea,4,4,3,NULL,NULL
630,4,Worm-eating Warbler,Helmitheros vermivorum,3,NULL,3,NULL,NULL
631,4,Swainson's Warbler,Limnothlypis swainsonii,2,2,NULL,NULL,NULL
632,4,Ovenbird,Seiurus aurocapilla,2,3,3,NULL,NULL
633,4,Northern Waterthrush,Seiurus noveboracensis,3,NULL,2,NULL,NULL
634,4,Kentucky Warbler,Oporornis formosus,3,3,3,NULL,NULL
635,4,Common Yellowthroat,Geothlypis trichas,3,NULL,4,3,NULL
636,4,Hooded Warbler,Wilsonia citrina,2,2,3,NULL,NULL
637,4,Yellow-breasted Chat,Icteria virens,NULL,NULL,3,NULL,NULL
638,4,Summer Tanager,Piranga rubra,4,4,2,NULL,NULL
639,4,Scarlet Tanager,Piranga olivacea,3,NULL,3,NULL,NULL
640,4,Eastern Towhee,Pipilo erythrophthalmus,4,4,4,4,NULL
641,4,Chipping Sparrow,Spizella passerina,4,4,4,4,NULL
642,4,Field Sparrow,Spizella pusilla,NULL,NULL,3,3,NULL
643,4,Savannah Sparrow,Passerculus sandwichensis,3,NULL,2,3,NULL
644,4,Fox Sparrow,Passerella iliaca,3,NULL,2,2,NULL
645,4,Song Sparrow,Melospiza melodia,2,NULL,4,4,NULL
646,4,Swamp Sparrow,Melospiza georgiana,4,NULL,4,4,NULL
647,4,White-throated Sparrow,Zonotrichia albicollis,4,NULL,4,5,NULL
648,4,Dark-eyed Junco,Junco hyemalis,2,NULL,2,4,NULL
649,4,Northern Cardinal,Cardinalis cardinalis,5,5,5,5,NULL
650,4,Rose-breasted Grosbeak,Pheucticus ludovicianus,3,NULL,3,NULL,NULL
651,4,Blue Grosbeak,Passerina caerulea,4,4,2,NULL,NULL
652,4,Indigo Bunting,Passerina cyanea,4,4,4,NULL,NULL
653,4,Painted Bunting,Passerina ciris,2,2,2,NULL,NULL
654,4,Bobolink,Dolichonyx oryzivorus,3,NULL,3,NULL,NULL
655,4,Red-winged Blackbird,Agelaius phoeniceus,2,2,4,4,NULL
656,4,Rusty Blackbird,Euphagus carolinus,3,NULL,3,3,NULL
657,4,Common Grackle,Quiscalus quiscula,5,5,2,2,NULL
658,4,Brown-headed Cowbird,Molothrus ater,5,5,2,2,NULL
659,4,Orchard Oriole,Icterus spurius,4,5,3,NULL,NULL
660,4,Baltimore Oriole,Icterus galbula,3,NULL,2,3,NULL
661,4,Purple Finch,Carpodacus purpureus,1,NULL,NULL,1,NULL
662,4,House Finch,Carpodacus mexicanus,4,4,4,4,NULL
663,4,Pine Siskin,Carduelis pinus,NULL,NULL,1,1,NULL
664,4,American Goldfinch,Carduelis tristis,4,3,4,4,NULL
665,4,House Sparrow,Passer domesticus,2,2,2,2,NULL
666,8,Wood Duck,Aix sponsa,2,2,2,2,NULL
667,8,Mallard,Anas platyrhynchos,4,4,4,4,NULL
668,8,Blue-winged Teal,Anas discors,3,3,3,NULL,NULL
669,8,Ring-necked Duck,Aythya collaris,2,NULL,2,2,NULL
670,8,Hooded Merganser,Lophodytes cucullatus,2,NULL,2,2,NULL
671,8,Wild Turkey,Meleagris gallopavo,2,2,2,2,NULL
672,8,Northern Bobwhite,Colinus virginianus,2,4,2,2,NULL
673,8,Pied-billed Grebe,Podilymbus podiceps,2,2,4,5,NULL
674,8,Double-crested Cormorant,Phalacrocorax auritus,2,2,4,4,NULL
675,8,Anhinga,Anhinga anhinga,2,2,2,2,NULL
676,8,Great Blue Heron,Ardea herodias,2,4,4,5,NULL
677,8,Great Egret,Ardea alba,4,4,4,2,NULL
678,8,Little Blue Heron,Egretta caerulea,2,2,2,2,NULL
679,8,Green Heron,Butorides virescens,2,2,3,NULL,NULL
680,8,White Ibis,Eudocimus albus,2,4,2,2,NULL
681,8,Black Vulture,Coragyps atratus,4,4,4,4,NULL
682,8,Turkey Vulture,Cathartes aura,5,5,5,5,NULL
683,8,Osprey,Pandion haliaetus,4,4,4,2,NULL
684,8,Swallow-tailed Kite,Elanoides forficatus,1,NULL,NULL,NULL,NULL
685,8,Mississippi Kite,Ictinia mississippiensis,1,NULL,NULL,NULL,NULL
686,8,Bald Eagle,Haliaeetus leucocephalus,2,2,2,2,NULL
687,8,Sharp-shinned Hawk,Accipiter striatus,2,NULL,2,4,NULL
688,8,Cooper's Hawk,Accipiter cooperii,2,3,2,2,NULL
689,8,Red-shouldered Hawk,Buteo lineatus,2,2,2,2,NULL
690,8,Broad-winged Hawk,Buteo platypterus,1,1,1,NULL,NULL
691,8,Red-tailed Hawk,Buteo jamaicensis,2,2,4,4,NULL
692,8,American Kestrel,Falco sparverius,2,NULL,2,4,NULL
693,8,Merlin,Falco columbarius,3,NULL,3,3,NULL
694,8,Common Moorhen,Gallinula chloropus,3,3,3,3,NULL
695,8,American Coot,Fulica americana,2,3,2,4,NULL
696,8,Killdeer,Charadrius vociferus,2,2,2,2,NULL
697,8,Spotted Sandpiper,Actitis macularius,3,3,3,NULL,NULL
698,8,Solitary Sandpiper,Tringa solitaria,3,3,3,NULL,NULL
699,8,Greater Yellowlegs,Tringa melanoleuca,3,3,3,3,NULL
700,8,Lesser Yellowlegs,Tringa flavipes,3,3,3,NULL,NULL
701,8,Wilson's Snipe,Gallinago delicata,3,NULL,3,2,NULL
702,8,American Woodcock,Scolopax minor,3,NULL,3,3,NULL
703,8,Laughing Gull,Larus atricilla,3,3,3,NULL,NULL
704,8,Ring-billed Gull,Larus delawarensis,2,NULL,2,4,NULL
705,8,Black Tern,Chlidonias niger,NULL,3,3,NULL,NULL
706,8,Mourning Dove,Zenaida macroura,5,5,5,5,NULL
707,8,Yellow-billed Cuckoo,Coccyzus americanus,4,4,2,NULL,NULL
708,8,Black-billed Cuckoo,Coccyzus erythropthalmus,3,NULL,NULL,NULL,NULL
709,8,Eastern Screech-Owl,Megascops asio,4,4,4,4,NULL
710,8,Great Horned Owl,Bubo virginianus,2,2,4,4,NULL
711,8,Barred Owl,Strix varia,2,2,2,2,NULL
712,8,Common Nighthawk,Chordeiles minor,4,4,2,NULL,NULL
713,8,Chuck-will's-widow,Caprimulgus carolinensis,4,4,2,NULL,NULL
714,8,Whip-poor-will,Caprimulgus vociferus,2,2,3,1,NULL
715,8,Chimney Swift,Chaetura pelagica,4,5,2,NULL,NULL
716,8,Ruby-throated Hummingbird,Archilochus colubris,4,4,3,NULL,NULL
717,8,Belted Kingfisher,Ceryle alcyon,2,2,4,4,NULL
718,8,Red-headed Woodpecker,Melanerpes erythrocephalus,4,4,2,3,NULL
719,8,Red-bellied Woodpecker,Melanerpes carolinus,5,5,5,5,NULL
720,8,Yellow-bellied Sapsucker,Sphyrapicus varius,2,NULL,2,4,NULL
721,8,Downy Woodpecker,Picoides pubescens,5,5,5,5,NULL
722,8,Hairy Woodpecker,Picoides villosus,2,2,2,2,NULL
723,8,Red-cockaded Woodpecker,Picoides borealis,2,2,2,2,NULL
724,8,Northern Flicker,Colaptes auratus,4,4,5,5,NULL
725,8,Pileated Woodpecker,Dryocopus pileatus,2,2,2,2,NULL
726,8,Eastern Wood-Pewee,Contopus virens,4,5,2,NULL,NULL
727,8,Acadian Flycatcher,Empidonax virescens,2,4,3,NULL,NULL
729,8,Eastern Phoebe,Sayornis phoebe,2,NULL,4,4,NULL
730,8,Great Crested Flycatcher,Myiarchus crinitus,4,5,2,NULL,NULL
731,8,Eastern Kingbird,Tyrannus tyrannus,4,4,2,NULL,NULL
732,8,White-eyed Vireo,Vireo griseus,5,5,2,NULL,NULL
733,8,Yellow-throated Vireo,Vireo flavifrons,NULL,NULL,3,NULL,NULL
734,8,Blue-headed Vireo,Vireo solitarius,2,NULL,2,4,NULL
735,8,Red-eyed Vireo,Vireo olivaceus,4,4,2,NULL,NULL
736,8,Blue Jay,Cyanocitta cristata,5,5,5,5,NULL
737,8,American Crow,Corvus brachyrhynchos,5,5,5,5,NULL
738,8,Fish Crow,Corvus ossifragus,5,5,2,2,NULL
739,8,Purple Martin,Progne subis,5,5,3,NULL,NULL
740,8,Tree Swallow,Tachycineta bicolor,2,NULL,2,2,NULL
741,8,Northern Rough-winged Swallow,Stelgidopteryx serripennis,3,3,NULL,NULL,NULL
742,8,Bank Swallow,Riparia riparia,3,3,3,NULL,NULL
743,8,Barn Swallow,Hirundo rustica,4,4,2,NULL,NULL
744,8,Carolina Chickadee,Poecile carolinensis,5,5,5,5,NULL
745,8,Tufted Titmouse,Baeolophus bicolor,5,5,5,5,NULL
746,8,Red-breasted Nuthatch,Sitta canadensis,3,NULL,3,3,NULL
747,8,Brown-headed Nuthatch,Sitta pusilla,5,5,5,5,NULL
748,8,Brown Creeper,Certhia americana,3,NULL,2,2,NULL
749,8,Carolina Wren,Thryothorus ludovicianus,5,5,5,5,NULL
750,8,House Wren,Troglodytes aedon,4,NULL,4,5,NULL
751,8,Winter Wren,Troglodytes troglodytes,3,NULL,3,2,NULL
752,8,Golden-crowned Kinglet,Regulus satrapa,2,NULL,4,5,NULL
753,8,Ruby-crowned Kinglet,Regulus calendula,4,NULL,4,5,NULL
754,8,Blue-gray Gnatcatcher,Polioptila caerulea,5,5,2,3,NULL
755,8,Eastern Bluebird,Sialia sialis,5,5,5,5,NULL
756,8,Veery,Catharus fuscescens,NULL,NULL,3,NULL,NULL
757,8,Gray-cheeked Thrush,Catharus minimus,NULL,NULL,3,NULL,NULL
758,8,Swainson's Thrush,Catharus ustulatus,NULL,NULL,3,NULL,NULL
759,8,Hermit Thrush,Catharus guttatus,4,NULL,4,5,NULL
760,8,Wood Thrush,Hylocichla mustelina,3,3,3,NULL,NULL
761,8,American Robin,Turdus migratorius,4,2,4,5,NULL
762,8,Gray Catbird,Dumetella carolinensis,5,2,5,5,NULL
763,8,Northern Mockingbird,Mimus polyglottos,5,5,5,5,NULL
764,8,Brown Thrasher,Toxostoma rufum,5,5,5,5,NULL
765,8,European Starling,Sturnus vulgaris,4,4,4,4,NULL
766,8,Cedar Waxwing,Bombycilla cedrorum,4,NULL,3,4,NULL
767,8,Orange-crowned Warbler,Vermivora celata,2,NULL,2,4,NULL
768,8,Northern Parula,Parula americana,4,4,2,NULL,NULL
769,8,Yellow Warbler,Dendroica petechia,3,NULL,3,NULL,NULL
770,8,Magnolia Warbler,Dendroica magnolia,NULL,NULL,2,NULL,NULL
771,8,Cape May Warbler,Dendroica tigrina,NULL,NULL,2,NULL,NULL
772,8,Black-throated Blue Warbler,Dendroica caerulescens,3,NULL,2,NULL,NULL
773,8,Yellow-rumped Warbler,Dendroica coronata,4,NULL,4,5,NULL
774,8,Black-throated Green Warbler,Dendroica virens,2,3,3,NULL,NULL
775,8,Yellow-throated Warbler,Dendroica dominica,5,4,2,1,NULL
776,8,Pine Warbler,Dendroica pinus,5,5,5,5,NULL
777,8,Prairie Warbler,Dendroica discolor,5,4,2,3,NULL
778,8,Palm Warbler,Dendroica palmarum,3,NULL,4,2,NULL
779,8,Bay-breasted Warbler,Dendroica castanea,NULL,NULL,3,NULL,NULL
780,8,Blackpoll Warbler,Dendroica striata,3,NULL,3,NULL,NULL
781,8,Black-and-white Warbler,Mniotilta varia,2,3,2,NULL,NULL
782,8,American Redstart,Setophaga ruticilla,3,3,2,NULL,NULL
783,8,Prothonotary Warbler,Protonotaria citrea,4,4,3,NULL,NULL
784,8,Worm-eating Warbler,Helmitheros vermivorum,3,3,3,NULL,NULL
785,8,Swainson's Warbler,Limnothlypis swainsonii,2,2,NULL,NULL,NULL
786,8,Ovenbird,Seiurus aurocapilla,3,3,3,NULL,NULL
787,8,Kentucky Warbler,Oporornis formosus,3,3,NULL,NULL,NULL
788,8,Common Yellowthroat,Geothlypis trichas,5,5,4,2,NULL
789,8,Hooded Warbler,Wilsonia citrina,4,4,3,NULL,NULL
790,8,Yellow-breasted Chat,Icteria virens,2,2,3,1,NULL
791,8,Summer Tanager,Piranga rubra,4,5,2,NULL,NULL
792,8,Scarlet Tanager,Piranga olivacea,3,NULL,3,NULL,NULL
793,8,Eastern Towhee,Pipilo erythrophthalmus,5,5,5,5,NULL
794,8,Bachman's Sparrow,Aimophila aestivalis,4,4,2,3,NULL
795,8,Chipping Sparrow,Spizella passerina,4,4,4,4,NULL
796,8,Field Sparrow,Spizella pusilla,NULL,NULL,3,3,NULL
797,8,Savannah Sparrow,Passerculus sandwichensis,3,NULL,3,3,NULL
798,8,Fox Sparrow,Passerella iliaca,3,NULL,3,2,NULL
799,8,Song Sparrow,Melospiza melodia,2,NULL,4,5,NULL
800,8,Swamp Sparrow,Melospiza georgiana,4,NULL,4,5,NULL
801,8,White-throated Sparrow,Zonotrichia albicollis,4,NULL,4,5,NULL
802,8,Dark-eyed Junco,Junco hyemalis,2,NULL,2,4,NULL
803,8,Northern Cardinal,Cardinalis cardinalis,5,5,5,5,NULL
804,8,Rose-breasted Grosbeak,Pheucticus ludovicianus,NULL,NULL,3,NULL,NULL
805,8,Blue Grosbeak,Passerina caerulea,4,4,2,NULL,NULL
806,8,Indigo Bunting,Passerina cyanea,4,4,2,NULL,NULL
807,8,Bobolink,Dolichonyx oryzivorus,NULL,NULL,3,NULL,NULL
808,8,Red-winged Blackbird,Agelaius phoeniceus,2,3,4,5,NULL
809,8,Rusty Blackbird,Euphagus carolinus,3,NULL,3,3,NULL
810,8,Common Grackle,Quiscalus quiscula,4,4,2,2,NULL
811,8,Brown-headed Cowbird,Molothrus ater,4,5,2,2,NULL
812,8,Orchard Oriole,Icterus spurius,4,4,NULL,NULL,NULL
813,8,Baltimore Oriole,Icterus galbula,NULL,NULL,3,NULL,NULL
814,8,House Finch,Carpodacus mexicanus,4,4,4,4,NULL
815,8,American Goldfinch,Carduelis tristis,2,3,2,4,NULL
816,7,Canada Goose,Branta canadensis,5,5,5,5,NULL
817,7,Mute Swan,Cygnus olor,5,5,5,5,NULL
818,7,Wood Duck,Aix sponsa,4,4,5,5,NULL
819,7,Gadwall,Anas strepera,2,NULL,2,4,NULL
820,7,American Wigeon,Anas americana,2,NULL,2,5,NULL
821,7,American Black Duck,Anas rubripes,2,NULL,4,4,NULL
822,7,Mallard,Anas platyrhynchos,5,5,5,5,NULL
823,7,Blue-winged Teal,Anas discors,4,3,4,3,NULL
824,7,Northern Shoveler,Anas clypeata,2,NULL,2,2,NULL
825,7,Northern Pintail,Anas acuta,2,NULL,2,2,NULL
826,7,Green-winged Teal,Anas crecca,2,NULL,2,4,NULL
827,7,Canvasback,Aythya valisineria,NULL,NULL,NULL,3,NULL
828,7,Redhead,Aythya americana,NULL,NULL,NULL,3,NULL
829,7,Ring-necked Duck,Aythya collaris,2,NULL,2,4,NULL
