likely,1
riverbend-park,
roanoke-canal-trail-and-museum,
roanoke-island-marsh-game-land,
roanoke-river-paddle-trail-mainstem-roanoke-devils-gut-gardner-creek-broad-creek-cow-creek,
roanoke-river-paddle-trail-weldon-to-us-258-bridge,
salem-lake-salem-lake-greenway-and-civitan-park,
sandhills-game-land,
san-lee-environmental-education-and-recreation-park,
schenck-forest,
singletary-lake-state-park,
south-mountains-game-land,
south-mountains-state-park,
southport-riverwalk,
stump-sound-park,
suggs-mill-pond-game-land,
swanquarter-national-wildlife-refuge,
swift-creek-bluffs,
tanglewood-park-and-arboretum,
the-bog-garden,
the-elizabethan-gardens,
town-creek-indian-mound-state-historic-site,
upper-perquimans-river-paddle-trail,
uwharrie-national-forest-badin-lake-recreation-area,
uwharrie-national-forest-birkhead-wilderness-area,
uwharrie-national-forest-densons-creek-nature-trail,
uwharrie-national-forest-uwharrie-national-recreational-trail,
van-swamp-game-land,
weyerhaeusers-cool-springs-environmental-education-center,
weymouth-woods-sandhills-nature-preserve,
whippoorwill-academy-and-village,
w-kerr-scott-reservoir,
yadkin-river-greenway,
Grand Total,
